t,YawGradient,Roll,FL normal force,FR normal force,RL normal force,RR normal force
0.54,-4.846300518431208e-05,0.7733646688742891,105.44348109102616,154.55651890897386,203.47895957830823,256.52104042169174
0.55,8.354650638721287e-05,0.7868865876545935,105.01337197287704,154.98662802712295,203.0144417307072,256.9855582692928
0.5599999999999999,0.00018714198765674728,0.7983578805981058,104.64842462804715,155.35157537195283,202.62029859829093,257.3797014017091
0.5700000000000001,0.0002653583484765253,0.807905604428876,104.34461152085646,155.65538847914354,202.292180442525,257.70781955747503
0.58,0.00032127613164675383,0.8156773053745935,104.09725218218718,155.90274781781284,202.02503235676215,257.97496764323785
0.5900000000000001,0.00035793649162587315,0.8218343293558438,103.90122584799603,156.09877415200398,201.81332391583572,258.1866760841643
0.6000000000000001,0.00037827114881933425,0.8265457559365912,103.75116432589247,156.2488356741075,201.65125747196387,258.3487425280361
0.61,0.00038504740113450123,0.8299830569729603,103.64162187218322,156.35837812781676,201.5329516219579,258.46704837804214
0.6200000000000001,0.0003808275776383079,0.8323155420197266,103.56722009594608,156.43277990405392,201.45259770362176,258.5474022963782
0.63,0.0003679417834817913,0.8337066139676511,103.52276713281474,156.47723286718528,201.40458850343992,258.5954114965601
0.6400000000000001,0.00034847241818827427,0.8343108233527192,103.50335144525954,156.49664855474046,201.3836195608803,258.61638043911967
0.65,0.00032424874123771787,0.8342716804636815,103.50441153919397,156.49558846080603,201.38476446232949,258.6152355376705
0.66,0.00029684968823260645,0.8337201619090223,103.52178360246374,156.47821639753627,201.40352629066084,258.59647370933914
0.67,0.00026761318010572074,0.8327738329461466,103.55172956076062,156.4482704392394,201.43586792562147,258.56413207437856
0.68,0.000237650287375181,0.8315364982138096,103.5909483236,156.4090516764,201.478224189488,258.521775810512
0.6900000000000001,0.0002078627834976596,0.8300982906843513,103.6365730843915,156.3634269156085,201.52749893114282,258.4725010688572
0.7000000000000001,0.0001789628217970002,0.8285361105599952,103.68615747936249,156.3138425206375,201.5810500777115,258.4189499222885
0.71,0.00015149367994089872,0.8269143312947506,103.737653237722,156.262346762278,201.63666549673977,258.36333450326026
0.7200000000000001,0.0001258507201653675,0.8252856977960242,103.78938170602933,156.21061829397067,201.69253224251167,258.3074677574883
0.73,0.00010230190273498889,0.8236923511438993,103.84000133519572,156.15999866480428,201.74720144201137,258.2527985579886
0.7400000000000001,8.100735870585364e-05,0.8221669240319174,103.88847290529262,156.11152709470738,201.79955073771603,258.200449262284
0.75,6.203767327604816e-05,0.8207336609402343,103.93402395178032,156.06597604821968,201.84874586792273,258.15125413207727
0.76,4.5390652469434266e-05,0.8194095263398843,103.97611356157898,156.02388643842102,201.8942026465053,258.1057973534947
0.77,3.100644474381285e-05,0.8182052726951826,104.01439843816794,155.98560156183206,201.93555031322137,258.06444968677863
0.78,1.8780967417816116e-05,0.8171264475112966,104.0487008970144,155.95129910298562,201.97259696877555,258.0274030312245
0.79,8.577648100003773e-06,0.8161743250995879,104.07897924822694,155.92102075177306,202.0052975880851,257.9947024119149
0.8,2.375362500321439e-07,0.8153467541129192,104.10530085215521,155.8946991478448,202.03372492032764,257.96627507967236
0.81,-6.412127815523099e-06,0.8146389162957908,104.12781799384975,155.87218200615024,202.05804343335774,257.94195656664226
0.82,-1.1550777376246418e-05,0.8140439953896624,104.14674661101529,155.8532533889847,202.0784863398965,257.92151366010347
0.8300000000000001,-1.5358694652316203e-05,0.8135537578374434,104.16234782399206,155.83765217600794,202.09533564991142,257.9046643500886
0.8400000000000001,-1.8012367535470875e-05,0.8131590489528333,104.17491215189347,155.82508784810653,202.10890512404495,257.89109487595505
0.8500000000000001,-1.9680896302941773e-05,0.8128502096667329,104.18474625292154,155.81525374707846,202.11952595315526,257.8804740468447
0.86,-2.0523320830028736e-05,0.8126174199337187,104.19216199591486,155.80783800408514,202.12753495558803,257.87246504441197
0.87,-2.068674355028745e-05,0.8124509754655955,104.19746765152507,155.80253234847493,202.1332650636471,257.86673493635294
0.8800000000000001,-2.030513017438603e-05,0.8123415047343333,104.20096098258907,155.79903901741093,202.1370378611962,257.8629621388038
0.8900000000000001,-1.949867831756814e-05,0.8122801332201601,104.20292401213298,155.797075987867,202.13915793310363,257.8608420668964
0.9,-1.8373653207862686e-05,0.8122586017287221,104.20361925221644,155.79638074778356,202.13990879239375,257.8600912076062
0.91,-1.702259914493583e-05,0.8122693453110967,104.20328718600224,155.79671281399774,202.13955016088244,257.86044983911756
0.9199999999999999,-1.5524845042822117e-05,0.8123055389310351,104.20214480777727,155.79785519222273,202.13831639239945,257.8616836076005
0.9300000000000002,-1.394723196505465e-05,0.8123611155668576,104.20038504014595,155.79961495985404,202.1364158433576,257.8635841566424
0.9400000000000001,-1.2344999870792603e-05,0.8124307619367318,104.19817686344565,155.80182313655433,202.13403101252132,257.8659689874787
0.9500000000000001,-1.0762779666020616e-05,0.812509896516501,104.19566600893026,155.80433399106974,202.1313192896447,257.8686807103553
0.96,-9.235645012181731e-06,0.8125946339951864,104.19297608391187,155.80702391608813,202.12841417062484,257.8715858293752
0.97,-7.790186085603049e-06,0.8126817397979043,104.19021001342337,155.80978998657662,202.12542681449725,257.87457318550275
0.9800000000000001,-6.445574567706397e-06,0.8127685778092273,104.1874516987462,155.8125483012538,202.1224478346459,257.87755216535413
0.9900000000000001,-5.2145955415157e-06,0.8128530539594668,104.1847678081019,155.8152321918981,202.11954923275005,257.88045076724995
